Episode 3190, Total Reward: 103.65
Episode 3200, Total Reward: 92.90
Episode 3210, Total Reward: 97.55
Episode 3220, Total Reward: 79.06
Episode 3230, Total Reward: 129.56
Episode 3240, Total Reward: 161.30
Episode 3250, Total Reward: 137.47
Episode 3260, Total Reward: 83.73
Episode 3270, Total Reward: 119.39
Episode 3280, Total Reward: 144.61
Episode 3290, Total Reward: 112.80
Episode 3300, Total Reward: 98.15
Episode 3310, Total Reward: 93.46
Episode 3320, Total Reward: 78.92
Episode 3330, Total Reward: 159.20
Episode 3340, Total Reward: 120.97
Episode 3350, Total Reward: 110.61
Episode 3360, Total Reward: 90.70
Episode 3370, Total Reward: 170.25
Episode 3380, Total Reward: 118.53
Episode 3390, Total Reward: 87.30
Episode 3400, Total Reward: 147.72
Episode 3410, Total Reward: 138.90
Episode 3420, Total Reward: 137.08
Episode 3430, Total Reward: 206.92
Episode 3440, Total Reward: 189.91
Episode 3450, Total Reward: 177.13
Episode 3460, Total Reward: 226.45
Episode 3470, Total Reward: 100.25
Episode 3480, Total Reward: 128.20
Episode 3490, Total Reward: 132.65
Episode 3500, Total Reward: 79.87
Episode 3510, Total Reward: 118.46
Episode 3520, Total Reward: 155.62
Episode 3530, Total Reward: 152.84
Episode 3540, Total Reward: 128.05
Episode 3550, Total Reward: 163.52
Episode 3560, Total Reward: 166.06
Episode 3570, Total Reward: 168.28
Episode 3580, Total Reward: 142.56
Episode 3590, Total Reward: 147.43
Episode 3600, Total Reward: 153.75
Episode 3610, Total Reward: 130.65
Episode 3620, Total Reward: 190.54
Episode 3630, Total Reward: 163.52
Episode 3640, Total Reward: 204.18
Episode 3650, Total Reward: 210.31
Episode 3660, Total Reward: 168.40
Episode 3670, Total Reward: 187.33
Episode 3680, Total Reward: 121.00
Episode 3690, Total Reward: 155.84
Episode 3700, Total Reward: 178.13
Episode 3710, Total Reward: 81.93
Episode 3720, Total Reward: 150.84
Episode 3730, Total Reward: 191.16
Episode 3740, Total Reward: 179.56
Episode 3750, Total Reward: 211.55
Episode 3760, Total Reward: 137.73
Episode 3770, Total Reward: 164.41
Episode 3780, Total Reward: 180.49
Episode 3790, Total Reward: 202.64
Episode 3800, Total Reward: 211.63
Episode 3810, Total Reward: 235.43
Episode 3820, Total Reward: 233.37
Episode 3830, Total Reward: 312.26
Episode 3840, Total Reward: 253.56
Episode 3850, Total Reward: 225.72
Episode 3860, Total Reward: 213.87
Episode 3870, Total Reward: 230.52
Episode 3880, Total Reward: 238.61
Episode 3890, Total Reward: 218.63
Episode 3900, Total Reward: 138.39
Episode 3910, Total Reward: 207.22
Episode 3920, Total Reward: 197.59
Episode 3930, Total Reward: 313.46
Episode 3940, Total Reward: 161.19
Episode 3950, Total Reward: 187.49
Episode 3960, Total Reward: 262.52
Episode 3970, Total Reward: 248.26
Episode 3980, Total Reward: 226.67
Episode 3990, Total Reward: 216.22
Episode 4000, Total Reward: 198.75
Episode 4010, Total Reward: 307.90
Episode 4020, Total Reward: 250.24
